"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5, C6","6","0.1uF 50V","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal",""
"2","C7","1","10uF 16V","Capacitor_THT:CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal",""
"3","J1","1","LisaLite FDD Connector","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical",""
"4","J2","1","LisaLite Twiggy Port Connector","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical",""
"5","R1","1","3.3K","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"6","U1","1","5MHz XTAL","Package_DIP:DIP-14_W7.62mm",""
"7","U2","1","74LS74","Package_DIP:DIP-14_W7.62mm",""
"8","U3","1","74LS393","Package_DIP:DIP-14_W7.62mm",""
"9","U4, U5","2","74LS85","Package_DIP:DIP-16_W7.62mm",""
"10","U6","1","74LS164","Package_DIP:DIP-14_W7.62mm",""
